ID,DATE,DEXUSEU
726,2018-01-12,1.2130
727,2018-01-15,.
728,2018-01-16,1.2244
729,2018-01-17,1.2229
730,2018-01-18,1.2238
731,2018-01-19,1.2238
732,2018-01-22,1.2230
733,2018-01-23,1.2277
734,2018-01-24,1.2390
735,2018-01-25,1.2488
736,2018-01-26,1.2422
737,2018-01-29,1.2352
738,2018-01-30,1.2390
739,2018-01-31,1.2428
740,2018-02-01,1.2482
741,2018-02-02,1.2446
742,2018-02-05,1.2418
743,2018-02-06,1.2381
744,2018-02-07,1.2281
745,2018-02-08,1.2238
746,2018-02-09,1.2226
747,2018-02-12,1.2267
748,2018-02-13,1.2363
749,2018-02-14,1.2396
750,2018-02-15,1.2482
751,2018-02-16,1.2442
752,2018-02-19,.
753,2018-02-20,1.2348
754,2018-02-21,1.2314
755,2018-02-22,1.2326
756,2018-02-23,1.2298
757,2018-02-26,1.2296
758,2018-02-27,1.2239
759,2018-02-28,1.2211
760,2018-03-01,1.2216
761,2018-03-02,1.2314
762,2018-03-05,1.233
763,2018-03-06,1.2415
764,2018-03-07,1.2397
765,2018-03-08,1.2314
766,2018-03-09,1.2326
767,2018-03-12,1.2318
768,2018-03-13,1.2398
769,2018-03-14,1.2362
770,2018-03-15,1.2321
771,2018-03-16,1.228
772,2018-03-19,1.2329
773,2018-03-20,1.2271
774,2018-03-21,1.2268
775,2018-03-22,1.231
776,2018-03-23,1.236
777,2018-03-26,1.244
778,2018-03-27,1.241
779,2018-03-28,1.2351
780,2018-03-29,1.2297
781,2018-03-30,1.232
782,2018-04-02,1.2288
783,2018-04-03,1.2261
784,2018-04-04,1.2292
785,2018-04-05,1.223
786,2018-04-06,1.2274
787,2018-04-09,1.232
788,2018-04-10,1.2338
789,2018-04-11,1.2384
790,2018-04-12,1.232
791,2018-04-13,1.2322
792,2018-04-16,1.2373
793,2018-04-17,1.2345
794,2018-04-18,1.238
795,2018-04-19,1.2336
796,2018-04-20,1.2282
797,2018-04-23,1.2216
798,2018-04-24,1.2226
799,2018-04-25,1.2178
800,2018-04-26,1.2113
801,2018-04-27,1.2108
802,2018-04-30,1.2074
803,2018-05-01,1.2
804,2018-05-02,1.1968
805,2018-05-03,1.197
806,2018-05-04,1.1946
807,2018-05-07,1.1927
808,2018-05-08,1.1863
809,2018-05-09,1.1852
810,2018-05-10,1.1896
811,2018-05-11,1.1951
812,2018-05-14,1.1976
813,2018-05-15,1.1864
814,2018-05-16,1.1788
815,2018-05-17,1.1798
816,2018-05-18,1.1775
817,2018-05-21,1.1768
818,2018-05-22,1.1783
819,2018-05-23,1.1693
820,2018-05-24,1.1729
821,2018-05-25,1.1666
822,2018-05-28,.
823,2018-05-29,1.1551
824,2018-05-30,1.1664
825,2018-05-31,1.167
826,2018-06-01,1.1679
827,2018-06-04,1.1696
828,2018-06-05,1.1672
829,2018-06-06,1.1778
830,2018-06-07,1.1815
831,2018-06-08,1.1773
832,2018-06-11,1.1802
833,2018-06-12,1.1792
834,2018-06-13,1.1784
835,2018-06-14,1.1634
836,2018-06-15,1.1616
837,2018-06-18,1.1606
838,2018-06-19,1.1577
839,2018-06-20,1.1592
840,2018-06-21,1.16
841,2018-06-22,1.163
842,2018-06-25,1.1694
843,2018-06-26,1.1675
844,2018-06-27,1.1588
845,2018-06-28,1.1582
846,2018-06-29,1.1677
847,2018-07-02,1.1604
848,2018-07-03,1.1653
